0.74,-18.17935,-2.88,,15.666076,7.2,,-54.705604,4.6800004
0.75,-16.420058,-2.52,,16.420058,9.18,,-58.30796,12.06
0.76,-14.660766,-2.16,,18.849556,9.360001,,-59.06194,13.86
0.77,-12.566371,-1.8,,13.4879052,13.139999,,-59.564596,16.02
0.78,-10.890855,-1.44,,15.498525,11.7,,-53.030084,22.5
0.79,-9.047788,-1.08,,16.084956,10.8,,-45.49026,27.539998
0.8,-7.12094336,-0.72,,13.069025,14.04,,-35.437164,34.74
0.81,-5.696755,-0.36,,14.158112,17.28,,-32.588788,34.02
0.82,-3.9374628,0,,14.99587,17.64,,-22.95457,39.96
0.83,-2.0943952,0.18,,16.001178,19.08,,-17.006488,43.38
0.84,-0.25132744,0.54,,18.095576,22.140002,,-13.236577,42.66
0.85,1.340413,1.08,,19.435988,21.6,,-12.231268,42.84
0.86,3.015929,1.6199999,,24.881414,23.58,,0.25132744,47.52
0.87,4.6076692,1.98,,26.054276,24.12,,5.612979,49.14
0.88,6.031858,2.52,,26.389378,24.300002,,6.115634,49.14
0.89,7.79115,2.88,,26.473154,23.58,,6.5345124,47.699996
0.9,8.964011,3.4199998,,28.735102,22.5,,6.86961636,42.3
0.91,8.377581,4.6800004,,30.661946,21.42,,8.628908,47.16
0.92,7.03716736,5.58,,30.159292,22.5,,9.550442,49.86
0.93,5.780531,6.8399996,,29.74041,23.22,,10.723304,52.74
0.94,4.021239,7.38,,29.656634,21.9600016,,14.074335,59.4
0.95,2.59705,8.28,,29.99174,23.58,,13.320353,59.4
0.96,0.58643068,9,,29.070204,24.66,,11.812388,60.300004
0.97,-1.0053097,9.72,,28.818876,26.820002,,1.92684352,67.32
0.98,-2.59705,10.08,,31.583478,23.58,,1.1728613,68.22
0.99,-4.523894,10.44,,31.332152,22.5,,0.50265484,68.22
1,-6.031858,10.8,,30.494394,21.6,,-5.0265484,69.8400036
1.01,-7.3722708,10.9800008,,29.74041,20.88,,-6.6182884,70.2
1.02,-8.712684,11.16,,26.389378,18.36,,-17.17404,75.6
1.03,-10.304424,11.16,,24.630086,17.82,,-23.876104,78.119992
1.04,-11.644837,10.8,,19.519762,14.22,,-30.494394,80.82
1.05,-13.1528016,10.44,,22.36814,13.139999,,-30.829496,79.56
1.06,-14.828317,9.9,,22.619466,11.7,,-30.494394,82.979992
1.07,-16.420058,9.360001,,20.7764,10.9800008,,-30.159292,83.34
1.08,-18.346902,9,,16.838938,10.26,,-30.075516,84.78
1.09,-19.938642,8.46,,17.17404,10.26,,-29.237754,84.06
1.1,-21.697934,7.7400004,,11.477285,10.8,,-28.902652,84.96
1.11,-23.289674,6.8399996,,12.39882,10.62,,-27.98112,86.4
1.12,-24.630086,6.1200004,,13.40413,11.16,,-25.467844,86.4
1.13,-26.389378,5.22,,14.912093,11.52,,-24.462536,87.12
1.14,-27.813568,3.96,,15.749851,11.88,,-22.36814,87.3
1.15,-28.98643,3.0600002,,17.341592,11.52,,-21.362832,89.46
1.16,-30.57817,1.6199999,,18.17935,10.26,,-11.225958,87.48
1.17,-32.002356,0.54,,19.268434,9.72,,-9.550442,86.22
1.18,-33.258996,-0.54,,20.692624,9.360001,,-5.5292032,85.86
1.19,-34.599408,-1.6199999,,24.881414,10.44,,1.8430676,87.8400064
1.2,-36.107372,-2.7,,31.080824,12.06,,4.942773,86.58
1.21,-37.112684,-3.4199998,,34.34808,12.780001,,5.780531,86.04
1.22,-37.78289,-4.14,,35.772268,12.780001,,4.775221,88.200008
1.23,-38.871976,-5.22,,35.772268,13.139999,,4.942773,93.6
1.24,-39.79351,-6.1200004,,36.945132,12.240001,,4.775221,100.08
1.25,-40.882596,-6.8399996,,38.453096,11.34,,6.450737,105.84
1.26,-42.055456,-7.38,,38.28554,12.240001,,9.299114,111.06
1.27,-43.144544,-8.46,,38.0342136,10.62,,8.880236,112.5
1.28,-44.56873,-9,,39.625956,10.08,,10.053097,113.04
1.29,-45.90914,-9.54,,39.709732,10.9800008,,7.9587016,115.02
1.3,-47.333332,-10.08,,39.039524,12.06,,-0.75398224,116.82
1.31,-48.589964,-10.44,,38.117992,12.959999,,-10.890855,122.4
1.32,-50.18171,-10.8,,42.474336,11.16,,-19.6873152,127.98
1.33,-51.52212,-10.9800008,,41.5528,12.240001,,-23.541002,128.16
1.34,-51.019468,-11.88,,40.882596,12.6,,-24.462536,129.24
1.35,-50.34926,-12.6,,39.709732,12.780001,,-27.310914,129.42
1.36,-49.260172,-13.139999,,38.7044232,12.240001,,-28.56755,128.52
1.37,-47.91976,-14.04,,38.453096,11.34,,-40.96637,132.84
1.38,-46.495576,-14.58,,38.117992,10.62,,-50.851912,138.24
1.39,-45.57404,-14.76,,37.866664,10.62,,-51.35457,138.59999
1.4,-44.14985,-15.12,,38.36932,11.52,,-50.014156,141.3
1.41,-42.641888,-15.3,,36.3587,13.32,,-50.851912,143.45999
1.42,-41.050144,-15.480001,,38.53687,14.76,,-49.59528,144.9
1.43,-39.458404,-15.3,,34.76696,16.92,,-50.51681,144.9
1.44,-37.95044,-15.12,,36.610028,17.1,,-51.187016,144.72
1.45,-36.274924,-14.76,,38.117992,15.84,,-46.998228,144.54
1.46,-34.76696,-14.22,,37.699112,16.2,,-45.15516,144.54
1.47,-33.17522,-13.500001,,34.93451,18.720002,,-34.515632,143.28
1.48,-31.834806,-12.959999,,35.604716,19.98,,-29.907964,142.92
1.49,-30.57817,-12.06,,35.604716,20.7,,-28.064896,143.28
1.5,-29.15398,-10.9800008,,36.77758,21.42,,-16.001178,140.76
1.51,-27.813568,-10.44,,38.36932,24.300002,,-14.409438,141.12
1.52,-26.473154,-9.18,,39.290856,23.4,,-2.261947,138.24
1.53,-24.96519,-8.28,,42.13923,25.2,,8.377581,136.08
1.54,-23.289674,-7.38,,43.395868,24.84,,19.268434,133.02
1.55,-21.94926,-6.1200004,,44.652504,24.300002,,25.38407,131.58
1.56,-20.608848,-5.4,,39.96106,25.740002,,22.870796,129.6
1.57,-19.0171068,-4.14,,39.542184,26.820002,,23.122124,127.619992
1.58,-17.676694,-3.2399998,,40.0448368,27.359998,,24.378762,125.28
1.59,-15.749851,-2.52,,42.725664,27.359998,,25.9704984,122.759992
1.6,-14.074335,-1.44,,44.820056,26.64,,24.79764,120.06
1.61,-12.482595,-0.54,,43.89852,25.2,,22.95457,120.600008
1.62,-10.97463,0.18,,49.260172,23.04,,22.284364,121.14
1.63,-9.215339,1.08,,54.286724,21.24,,14.241887,116.99999
1.64,-7.539823,2.3400002,,52.86253,21.78,,9.801769,115.74
1.65,-6.115634,3.2399998,,55.12448,20.16,,8.293805,115.2
1.66,-4.523894,4.14,,55.71091,18.9,,6.953392,116.46
1.67,-2.680826,5.04,,55.040708,19.08,,6.19941,116.28001
1.68,-1.1728613,5.58,,54.3705,20.16,,4.775221,116.64
1.69,0.50265484,6.1200004,,53.700296,21.06,,4.440118,117.71999
1.7,2.178171,6.66,,52.69498,22.68,,-1.4241887,119.16
1.71,4.1050144,7.38,,51.52212,23.22,,-3.099705,118.98
1.72,5.780531,7.92,,48.92507,23.22,,-13.823009,114.66
1.73,7.3722708,8.28,,47.584656,23.76,,-12.063716,113.76
1.74,9.131563,8.28,,50.433036,21.6,,-10.639527,111.6
1.75,10.890855,8.64,,50.6005868,20.52,,-11.561062,109.98
1.76,12.566371,8.64,,49.93038,19.8,,-13.99056,108.9
1.77,14.241887,8.64,,53.113856,19.98,,-14.660766,108.71999
1.78,14.828317,8.82,,55.12448,20.34,,-13.069025,108.71999
1.79,14.158112,9.360001,,49.76283,21.24,,-11.812388,108.71999
1.8,12.8176984,9.9,,51.2707936,21.78,,-9.382891,108.54
1.81,11.058407,10.26,,53.113856,23.04,,-6.366961,108.54
1.82,9.550442,10.62,,52.6112068,23.4,,-4.775221,109.08
1.83,8.461356,10.9800008,,51.68967,24.300002,,6.366961,110.700008
1.84,7.539823,11.34,,54.621828,24.66,,8.628908,110.16
1.85,5.780531,11.7,,55.71091,25.740002,,21.362832,111.96
1.86,3.6023596,11.7,,56.96755,26.099998,,22.284364,111.96
1.87,1.8430676,11.52,,58.47551,26.820002,,35.185836,113.94
1.88,0.16755162,11.34,,58.978164,27.179998,,39.039524,113.94
1.89,-1.5917402,10.9800008,,60.486132,27.359998,,41.050144,114.299992
1.9,-3.1834804,10.26,,61.57522,27.539998,,39.709732,113.04
1.91,-4.523894,9.72,,63.166956,27.9,,39.877284,110.700008
1.92,-5.948082,8.82,,63.669612,26.820002,,38.28554,111.06
1.93,-7.539823,7.92,,63.166956,24.84,,42.223004,106.92
1.94,-8.796459,7.2,,63.166956,24.300002,,46.076696,103.14
1.95,-10.136872,6.3,,63.669612,25.919998,,45.49026,102.6
1.96,-11.309733,5.4,,67.43953,23.4,,44.73628,104.399992
1.97,-12.566371,4.5,,69.11504,23.76,,44.73628,103.32
1.98,-13.739233,3.4199998,,68.94749,22.68,,44.820056,102.240008
1.99,-15.5823,1.8,,71.209432,21.6,,42.55811,100.259992
2,-17.17404,0.9,,70.45545,22.32,,40.631268,98.82001
2.01,-18.17935,-0.18,,70.45545,22.32,,29.070204,94.68001
2.02,-19.3522116,-1.26,,70.37167,22.86,,19.100884,91.44
2.03,-20.692624,-2.16,,69.198816,21.6,,10.053097,88.200008
2.04,-22.200588,-3.0600002,,68.61239,20.52,,8.796459,87.8400064
2.05,-23.792328,-3.78,,64.92625,18.36,,0.418879068,86.4
2.06,-25.38407,-4.86,,64.08849,18.9,,0.418879068,86.04
2.07,-27.143362,-5.76,,60.9050136,18.36,,2.8483774,84.420008
2.08,-28.735102,-6.4799996,,61.74277,18.18,,2.680826,82.8
2.09,-29.99174,-7.2,,61.072564,18.54,,0.58643068,81.72
2.1,-31.415928,-7.92,,60.318584,18.720002,,-0.9215338,81.54
2.11,-32.588788,-8.64,,57.88908,19.44,,-1.4241887,81.72
2.12,-33.76165,-9.18,,53.867848,20.7,,-0.58643068,81.36
2.13,-35.185836,-9.72,,54.53805,21.24,,8.796459,82.44
2.14,-36.19115,-10.08,,52.6112068,21.9600016,,10.890855,82.619992
2.15,-37.531564,-10.44,,54.035396,23.4,,10.890855,82.8
2.16,-38.871976,-10.62,,51.605896,25.740002,,22.619466,84.6
2.17,-40.128612,-11.16,,52.443652,25.380002,,25.132742,84.420008
2.18,-41.469024,-11.34,,52.86253,24.84,,28.14867,84.96
2.19,-42.641888,-11.52,,56.213564,28.26,,30.99705,84.78
2.2,-43.9823,-11.52,,56.96755,27.539998,,32.92389,84.78
2.21,-45.49026,-11.34,,58.056632,27.359998,,42.725664,87.48
2.22,-46.91445,-11.16,,58.643064,27.9,,54.035396,91.079992
2.23,-46.663124,-11.34,,60.318584,27.359998,,56.12979,91.079992
2.24,-46.076696,-11.7,,61.91032,28.08,,55.878464,92.7
2.25,-44.90383,-11.88,,63.585836,27.359998,,54.956932,93.96
2.26,-43.6471936,-11.88,,64.08849,27.9,,56.38112,95.76
2.27,-42.390556,-12.06,,64.42359,29.34,,53.78407,97.02
2.28,-40.798816,-12.240001,,62.831856,29.52,,55.20826,97.380008
2.29,-39.37463,-12.240001,,64.59115,29.7,,53.61652,98.64
2.3,-37.699112,-12.06,,62.58053,29.34,,52.443652,99
2.31,-36.274924,-11.7,,61.57522,29.16,,51.773444,98.82001
2.32,-34.76696,-11.34,,59.48082,28.44,,41.720352,99.72
2.33,-33.091446,-10.8,,64.08849,26.820002,,41.720352,99.36
2.34,-31.667256,-10.26,,63.837162,27.000002,,39.709732,99.36
2.35,-30.075516,-9.72,,63.166956,27.72,,34.515632,99.36
2.36,-28.735102,-9,,62.3292,28.44,,33.17522,99.36
2.37,-27.059588,-8.46,,61.491444,28.98,,32.33746,99.36
2.38,-25.886722,-7.38,,60.486132,28.619998,,22.535692,99.9
2.39,-24.630086,-6.8399996,,56.71622,26.279998,,19.938642,99.53999
2.4,-23.205898,-5.76,,55.96224,25.919998,,15.498525,99.9
2.41,-21.697934,-5.04,,55.54336,25.919998,,13.40413,100.08
2.42,-19.938642,-4.14,,54.53805,25.740002,,17.760472,103.86
2.43,-18.514454,-3.4199998,,57.470204,23.76,,18.346902,108.18
2.44,-16.838938,-2.7,,59.73215,23.04,,17.17404,107.81999
2.45,-15.247197,-1.6199999,,58.391736,23.4,,17.425368,111.6
2.46,-13.655457,-0.72,,57.72153,24.300002,,17.006488,107.81999
2.47,-11.812388,0.18,,53.28141,26.099998,,17.928022,109.8
2.48,-10.136872,0.9,,53.78407,26.279998,,19.0171068,109.08
2.49,-8.628908,1.6199999,,57.1351,26.099998,,20.273744,108.00001
2.5,-6.702065,2.3400002,,58.559288,25.02,,24.881414,110.16
2.51,-4.858997,3.0600002,,54.454276,26.820002,,32.086132,114.299992
2.52,-3.015929,3.6,,55.54336,27.359998,,33.17522,115.2
2.53,-1.5079645,4.14,,56.71622,28.8,,38.95575,116.82
2.54,0.25132744,4.5,,57.1351,28.98,,40.798816,116.1
2.55,1.6755162,4.86,,57.88908,28.619998,,45.238932,117.54
2.56,3.51858368,5.22,,60.40236,28.619998,,58.978164,122.03999
